               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.027264,           0.0042544,           0.0014755,             0.97073,                   1,               0.995,              0.8955,             0.02023,           0.0043679,          0.00085819,              0.0064,              0.0064,              0.0064
                 122,            0.026265,           0.0047712,           0.0018372,             0.97166,                   1,               0.995,              0.8955,            0.018895,           0.0045101,          0.00078541,             0.00637,             0.00637,             0.00637
                 123,            0.025182,           0.0050508,            0.002086,             0.97036,                   1,               0.995,              0.6965,            0.019352,           0.0048346,          0.00085041,             0.00634,             0.00634,             0.00634
                 124,            0.025566,           0.0050343,           0.0022853,             0.96965,                   1,               0.995,               0.796,            0.018759,           0.0047878,          0.00091015,             0.00631,             0.00631,             0.00631
                 125,            0.025592,           0.0048351,           0.0027915,             0.97084,                   1,               0.995,              0.6965,            0.017447,           0.0046263,          0.00096817,             0.00628,             0.00628,             0.00628
                 126,            0.024683,           0.0053722,           0.0021315,             0.97111,                   1,               0.995,              0.8955,            0.015343,           0.0043339,           0.0010018,             0.00625,             0.00625,             0.00625
                 127,            0.026931,           0.0046719,           0.0019812,              0.9707,                   1,               0.995,              0.8955,            0.017625,           0.0043379,            0.001057,             0.00622,             0.00622,             0.00622
                 128,            0.026388,            0.005024,           0.0021223,              0.9688,                   1,               0.995,               0.796,            0.018298,           0.0046243,           0.0012133,             0.00619,             0.00619,             0.00619
                 129,            0.025768,           0.0051389,             0.00183,             0.96914,                   1,               0.995,               0.796,            0.021669,           0.0048566,           0.0012918,             0.00616,             0.00616,             0.00616
                 130,            0.024546,           0.0052122,            0.002491,             0.96963,                   1,               0.995,              0.8955,            0.014191,           0.0048199,           0.0012895,             0.00613,             0.00613,             0.00613
                 131,            0.026279,           0.0049941,           0.0019763,             0.96904,                   1,               0.995,              0.8955,            0.011418,           0.0050802,           0.0011927,              0.0061,              0.0061,              0.0061
                 132,            0.026725,           0.0048361,           0.0021585,             0.96811,                   1,               0.995,               0.796,            0.017596,           0.0050228,           0.0011786,             0.00607,             0.00607,             0.00607
                 133,            0.026332,           0.0054322,           0.0020858,             0.96795,                   1,               0.995,               0.796,            0.016726,           0.0048553,           0.0010494,             0.00604,             0.00604,             0.00604
                 134,            0.025717,           0.0052068,           0.0021686,             0.96921,                   1,               0.995,              0.8955,            0.018849,            0.004645,            0.001013,             0.00601,             0.00601,             0.00601
                 135,            0.023878,           0.0045214,           0.0014397,             0.97035,                   1,               0.995,              0.8955,            0.015956,           0.0044273,          0.00092915,             0.00598,             0.00598,             0.00598
                 136,            0.024026,           0.0042277,           0.0015729,             0.97052,                   1,               0.995,              0.8955,             0.01772,           0.0043546,          0.00093006,             0.00595,             0.00595,             0.00595
                 137,              0.0249,           0.0042399,           0.0016154,             0.97083,                   1,               0.995,               0.796,            0.021354,           0.0043612,          0.00088818,             0.00592,             0.00592,             0.00592
                 138,            0.025096,            0.004503,           0.0023691,             0.97169,                   1,               0.995,              0.8955,            0.020022,           0.0043205,          0.00080692,             0.00589,             0.00589,             0.00589
                 139,            0.025055,           0.0049575,           0.0020452,             0.97187,                   1,               0.995,               0.796,            0.018908,           0.0042478,          0.00076664,             0.00586,             0.00586,             0.00586
                 140,            0.024247,           0.0038087,           0.0016908,              0.9714,                   1,               0.995,              0.8955,            0.018059,           0.0041723,          0.00084469,             0.00583,             0.00583,             0.00583
                 141,            0.024268,           0.0041704,           0.0017228,             0.96995,                   1,               0.995,               0.796,            0.019596,           0.0041984,           0.0010335,              0.0058,              0.0058,              0.0058
                 142,            0.023932,           0.0044646,           0.0018249,             0.97027,                   1,               0.995,               0.796,            0.019708,           0.0041556,           0.0010953,             0.00577,             0.00577,             0.00577
                 143,            0.026425,           0.0048222,           0.0017261,             0.97125,                   1,               0.995,               0.796,            0.019702,           0.0039587,           0.0010636,             0.00574,             0.00574,             0.00574
                 144,             0.02657,           0.0045923,           0.0017251,             0.97092,                   1,               0.995,               0.796,            0.019894,           0.0038045,          0.00092857,             0.00571,             0.00571,             0.00571
                 145,            0.025101,           0.0047225,           0.0015639,             0.97058,                   1,               0.995,              0.8955,            0.019951,           0.0037484,            0.000863,             0.00568,             0.00568,             0.00568
                 146,            0.021097,           0.0044101,           0.0015619,             0.96971,                   1,               0.995,              0.8955,              0.0174,           0.0040515,          0.00088108,             0.00565,             0.00565,             0.00565
